name,price,location,make,latitude,longitude
2019 VW GTI,18500.0,Chapel Hill,VW,35.9260912661484,-79.0268081709938
Audi Q3 2016 Sportback Premium plus,7200.0,Raleigh,Q3,35.8678982347313,-78.6405985207553
2008 Mercedes S550 Immaculate ! Garage kept 113k,10500.0,Cary,Mercedes,35.8071985129606,-78.8869978746225
WE BUY CARS!! Will Beat CAR-MAX APPRAISALS BY $200-$500!!!,300.0,Raleigh,BUY,35.7907993149492,-78.6530024840614
Chevy 3500 Duramax,18000.0,Bear Creek,3500,35.6128999302752,-79.3725967947036
2019 Chevrolet Silverado LTZ,39500.0,Chapel Hill,Chevrolet,35.7853728316718,-79.0534971180473
2019 Chevy Tahoe LS,24000.0,Raleigh,Chevy,35.8890002703248,-78.6783971194558
2011 BMW 328i,4300.0,Rolesville,BMW,35.9185986970619,-78.4641000178903
2004 Ford Lincoln,3400.0,Carrboro,Ford,35.9162014416472,-79.0999015428303
2011 Hyundai Sonata,3250.0,Clayton,Hyundai,35.6348012419929,-78.4509993379054
2018 Audi Q5 68k miles,15000.0,Apex,Audi,35.7722039697093,-78.9605742498802
1970 Ford Maverick,8000.0,Garner,Ford,35.6799995906172,-78.6084624639437
2012 Ford Focus Titanium Hatchback - super clean!,5500.0,Durham,Ford,35.9042793358467,-78.956064499075
2005 Toyota solora,3000.0,Pine Level,Toyota,35.5176393943041,-78.2025992154177
2001 Honda CR-V  Maintained,3300.0,Sanford,Honda,35.4468991601321,-79.1380003714155
2006 Toyota Corolla,3000.0,Youngsville,Toyota,36.0249007027024,-78.474399507215
2006 Honda Accord for sale,4300.0,Carrboro,Honda,35.9162014416472,-79.0999015428303
2005 Jeep Wrangler Soft Top - Low Miles,19999.0,Cary,Jeep,35.8071985129606,-78.8869978746225
2006 Dodge Durango,3750.0,Garner,Dodge,35.6470986351492,-78.5789018524211
2016 Freightliner 122SD Dump Truck,65000.0,Raleigh,Freightliner,35.8333992999727,-78.5799010908158
LOW Mileage 2016 Honda Odyssey EX-L Fully Loaded Only 60k,13900.0,Raleigh,Mileage,35.8887011863558,-78.6393007713494
MERCEDES BENZ E500 SALE (GOOD CONDITION),3500.0,Raleigh,BENZ,35.8887011863558,-78.6393007713494
2021 Nissan kicks,13500.0,Knightdale,Nissan,35.7789007004184,-78.4898017586629
1996 Chevrolet Corvette Collector's Edition - C4,17750.0,Danville,Chevrolet,36.5779000859679,-79.4410967638967
1996 Chevrolet Corvette Collector's Edition - C4,17750.0,Danville,Chevrolet,36.5779000859679,-79.4410967638967
2006 Toyota Corolla,3950.0,Angier,Toyota,35.4897002533417,-78.7248972281906
2009 Honda Civic EX,3500.0,Sanford,Honda,35.46980085616,-79.1717006030077
Kia Sportage AWD,3900.0,Garner,Sportage,35.6813007777699,-78.5975000624501
1998 Jeep Grand Cherokee Laredo,1900.0,Durham,Jeep,35.9969993769544,-78.9421994933914
