name,price,location,make,latitude,longitude
2004 Land Rover Discovery Westminster Edition,6000.0,Clayton,LAND,35.6348012419929,-78.4509993379054
Immaculate 2009 Mecedes-Benz E350,9800.0,Bynum,IMMACULATE,35.76939991426,-79.1754981672736
For Sale: 1992 Mitsubishi Fuso Inline 6 Cylinder,6500.0,Spring Hope,FOR,35.9176017504984,-78.0855983688693
2009 Chevy Corvette,31500.0,Oxford,CHEVROLET,36.3312990509568,-78.6134007871797
2021 Ram 2500 Mega Cab,55000.0,Oxford,RAM,36.3312990509568,-78.6134007871797
1954 Chevy Truck 3100,12000.0,Oxford,CHEVROLET,36.3312990509568,-78.6134007871797
2010 Subaru Legacy 2.5I Limited,4650.0,Cary,SUBARU,35.8343996842829,-78.8465974745744
Bmw Z3 5 Speed,10950.0,Raleigh,BMW,35.8479988375497,-78.6316964754928
Mercury Marquis,1900.0,Henderson,MERCURY,36.3301004232495,-78.3981015824305
Am General Humvee (Helment Top),27995.0,Danville,AM,36.5779000859679,-79.4410967638967
2011 Bmw 3 Series 328I Xdrive Sedan,7500.0,Cary,BMW,35.7956007012722,-78.7941002165983
"2024 Jeep Wrangler Rubicon 4Xe – $50,000 Obo",50000.0,Raleigh,JEEP,35.8949017356143,-78.7051032552432
2003 Ford F-150 Xl (5.1L ) – 4 Door Extended Cab,6300.0,Youngsville,FORD,36.0249007027024,-78.474399507215
1996 Mercury Grand Marquis Ls Premium (Low )!!!,4500.0,Smithfield,MERCURY,35.4910014404943,-78.3570027468302
2019 Nissan Titian Sv 4X4,21500.0,Raleigh,NISSAN,35.8949017356143,-78.7051032552432
"2004 Nissan Xterra Xe, Low",5600.0,Cary,NISSAN,35.8176005617306,-78.7908016985719
Low Mileage 2019 Lexus Es350,24950.0,Raleigh,LOW,35.8887011863558,-78.6393007713494
2011 Chevy Silverado Ls,9000.0,Chapel Hill,CHEVROLET,35.9202998087555,-79.0372004794813
2018 Audi Q7,19500.0,Bynum,AUDI,35.76939991426,-79.1754981672736
2015 Ford Transit 250 (High Roof),5800.0,Knightdale,FORD,35.7920013804033,-78.4759980594634
2014 Hyundai Sonata Gls,3900.0,Raleigh,HYUNDAI,35.8887011863558,-78.6393007713494
Ford L7000 Cummins Diesel/Box/Lift,21000.0,Mebane,FORD,36.0979012553761,-79.2718994622147
2014 M2 Freightliner,13500.0,Raleigh,M2,35.7666989912139,-78.6007991534343
2023 Audi Rs 3 Tfsi Quattro 2.5T S Tronic - 17K,61500.0,Apex,AUDI,35.7225004539421,-78.8407985687302
2008 Toyota Camry Xle,4500.0,Raleigh,TOYOTA,35.8333992999727,-78.5799010908158
Low Mileage 2018 Honda Crv Exl,17950.0,Raleigh,LOW,35.8887011863558,-78.6393007713494
1982 International Model 1954,9500.0,Carrboro,INTERNATIONAL,35.9162014416472,-79.0999015428303
Mercedes Sl 550 Amg❗️Lambo Doors❗️Black Or Grey Matt Read ❗️,16900.0,Raleigh,MERCEDES,35.8131985269909,-78.6226970274052
2019 Vw Gti,18500.0,Chapel Hill,VW,35.9260912661484,-79.0268081709938
Audi Q3 2016 Sportback Premium Plus,7200.0,Raleigh,AUDI,35.8678982347313,-78.6405985207553
2008 Mercedes S550 Immaculate ! Garage Kept 113K,10500.0,Cary,MERCEDES,35.8071985129606,-78.8869978746225
We Buy Cars!! Will Beat Car-Max Appraisals By $200-$500!!!,300.0,Raleigh,WE,35.7907993149492,-78.6530024840614
Chevy 3500 Duramax,18000.0,Bear Creek,CHEVROLET,35.6128999302752,-79.3725967947036
2019 Chevrolet Silverado Ltz,39500.0,Chapel Hill,CHEVROLET,35.7853728316718,-79.0534971180473
2019 Chevy Tahoe Ls,24000.0,Raleigh,CHEVROLET,35.8890002703248,-78.6783971194558
2011 Bmw 328I,4300.0,Rolesville,BMW,35.9185986970619,-78.4641000178903
2004 Ford Lincoln,3400.0,Carrboro,FORD,35.9162014416472,-79.0999015428303
2011 Hyundai Sonata,3250.0,Clayton,HYUNDAI,35.6348012419929,-78.4509993379054
2018 Audi Q5 68K,15000.0,Apex,AUDI,35.7722039697093,-78.9605742498802
1970 Ford Maverick,8000.0,Garner,FORD,35.6799995906172,-78.6084624639437
2012 Ford Focus Titanium Hatchback - Super Clean!,5500.0,Durham,FORD,35.9042793358467,-78.956064499075
2005 Toyota Solora,3000.0,Pine Level,TOYOTA,35.5176393943041,-78.2025992154177
2001 Honda Cr-V Maintained,3300.0,Sanford,HONDA,35.4468991601321,-79.1380003714155
2006 Toyota Corolla,3000.0,Youngsville,TOYOTA,36.0249007027024,-78.474399507215
2006 Honda Accord For Sale,4300.0,Carrboro,HONDA,35.9162014416472,-79.0999015428303
2005 Jeep Wrangler Soft Top - Low,19999.0,Cary,JEEP,35.8071985129606,-78.8869978746225
2006 Dodge Durango,3750.0,Garner,DODGE,35.6470986351492,-78.5789018524211
2016 Freightliner 122Sd Dump Truck,65000.0,Raleigh,FREIGHTLINER,35.8333992999727,-78.5799010908158
Low Mileage 2016 Honda Odyssey Ex-L Fully Loaded Only 60K,13900.0,Raleigh,LOW,35.8887011863558,-78.6393007713494
Mercedes Benz E500 Sale (Good Condition),3500.0,Raleigh,MERCEDES,35.8887011863558,-78.6393007713494
2021 Nissan Kicks,13500.0,Knightdale,NISSAN,35.7789007004184,-78.4898017586629
1996 Chevrolet Corvette Collector'S Edition - C4,17750.0,Danville,CHEVROLET,36.5779000859679,-79.4410967638967
1996 Chevrolet Corvette Collector'S Edition - C4,17750.0,Danville,CHEVROLET,36.5779000859679,-79.4410967638967
2006 Toyota Corolla,3950.0,Angier,TOYOTA,35.4897002533417,-78.7248972281906
2009 Honda Civic Ex,3500.0,Sanford,HONDA,35.46980085616,-79.1717006030077
Kia Sportage,3900.0,Garner,KIA,35.6813007777699,-78.5975000624501
1998 Jeep Grand Cherokee Laredo,1900.0,Durham,JEEP,35.9969993769544,-78.9421994933914
2017 Hyundai Sonata,5725.0,Raleigh,HYUNDAI,35.8481008240372,-78.5712998483957
44 2015 Hybrid Lexus Ct200H,3600.0,Henderson,44,36.3301004232495,-78.3981015824305
F-150,11500.0,Clayton,F-150,35.6576995002741,-78.3837014341663
2015 Fiat 500 Pop (Low )!!!,4250.0,Smithfield,FIAT,35.4910014404943,-78.3570027468302
2023 Honda Ridgeline Rtl-E,23800.0,Raleigh,HONDA,35.8262992069758,-78.6491023603502
2018 Dodge Ram 3500/ Kaufman 3 Car Hauler,25000.0,Roanoke Rapids,DODGE,36.4461008854876,-77.6731025609072
2007 Mazda Mx-5 Miata Grand Touring Hardtop Convertible,10000.0,Apex,MAZDA,35.7302015796661,-78.8627164962239
Family Va,500.0,Durham,FAMILY,35.9882084855042,-78.9285865891376
Gmc 2006 2500Hd,6900.0,Angier,GMC,35.4897002533417,-78.7248972281906
Porsche Macan Turbo,17500.0,Cary,PORSCHE,35.8343996842829,-78.8465974745744
2004 Chevrolet Tahoe,6000.0,Durham,CHEVROLET,36.0338990048744,-78.8966969041779
"1997 Dodge Ram 1500 70,000 Garage Kept",9000.0,Sanford,DODGE,35.4468991601321,-79.1380003714155
2014 Chevrolet Cruze Ls,3500.0,Raleigh,CHEVROLET,35.7239007627934,-78.5480016655736
2007 H3 Hummer,6500.0,Creedmoor,H3,36.1224015036523,-78.6861016829265
Food Truck For Sale,25000.0,Raeford,FOOD,34.9889998846551,-79.2227975521325
2013 Honda Fit Sport Vsa Hatchback 4D,7500.0,Durham,HONDA,35.9111983741804,-78.9178018045604
Bmw 323I Convertible 1999,5500.0,South Hill,BMW,36.7124002094942,-78.1534016213837
2003 Toyota Highlander Limited,3500.0,Stem,TOYOTA,36.1999003479754,-78.7221991699334
1950 Ford,38000.0,Raleigh,FORD,35.867300639751,-78.5380980900853
2008 Hyundai Entourage,3500.0,Louisburg,HYUNDAI,36.0578016581704,-78.2586001103108
2020 Bmw X1 Xdrive28I,21995.0,Apex,BMW,35.7225004539421,-78.8407985687302
1970 Plymouth Barracuda Convertible - 383 - Factory Air - 1 Of 66 Made,116900.0,Salina,PLYMOUTH,38.8237004100673,-97.6421032284319
Nissan 300Zx Twin Turbo 1991,15000.0,Raleigh,NISSAN,35.8949017356143,-78.7051032552432
Nissan 300Zx Twin Turbo 1991,20000.0,Raleigh,NISSAN,35.8949017356143,-78.7051032552432
2019 Chevrolet Trax,16000.0,Wake Forest,CHEVROLET,35.9579987127997,-78.5235019902551
2014 Vw Passat,5000.0,Durham,VW,35.996698574112,-78.8966012202261
2003 Jaguar Xkr Convertible,12200.0,Raleigh,JAGUAR,35.7076006864806,-78.6563015750456
Ram 2500 Diesel 2012,33500.0,Hillsborough,RAM,36.0888995154572,-79.0175978744376
2017 International 26' Box Truck,25000.0,Raleigh,INTERNATIONAL,35.8162220252756,-78.5432478347476
07' Toyota Silver Camry,5900.0,Four Oaks,07',35.403998945224,-78.4152983376927
Chevy Avalanche,11500.0,Lillington,CHEVROLET,35.3363492453987,-78.9184045561609
2010 Mazda Cx-9,4250.0,Raleigh,MAZDA,35.7644994062385,-78.7112023909721
8K Original -04 Ford F250 Super Duty Xcab 8Ft Bed,23.0,Bath,8K,35.4702002077432,-76.7714967474957
